ltable_ID,rtable_ID
1,2
9,3
8,4
10,5
11,6
6,7
4,8
7,9
3,10
16,11
18,12
12,13
17,14
25,16
23,17
31,18
24,19
26,20
30,21
35,22
39,23
42,24
34,25
44,26
40,28
36,29
33,30
46,31
43,32
55,33
52,34
49,35
54,36
47,37
51,38
53,39
58,40
57,41
56,42
67,43
75,44
72,45
70,46
69,47
73,48
77,49
62,50
71,51
63,52
66,53
78,54
74,55
64,56
81,57
87,59
91,61
100,62
83,63
90,64
101,65
93,66
98,67
95,68
92,69
97,70
82,72
111,73
104,74
115,77
118,78
116,79
122,80
112,81
106,82
113,83
130,84
136,85
138,86
135,87
132,89
137,90
129,91
139,92
125,93
126,95
131,96
158,97
222,98
226,99
243,100
223,102
220,103
249,104
144,105
235,107
221,108
210,110
210,111
224,112
177,114
247,115
257,117
261,118
178,119
196,120
151,121
152,122
206,123
236,124
157,125
248,126
216,128
218,129
251,130
408,132
380,133
383,134
347,135
285,136
403,138
398,139
395,140
367,141
265,142
320,143
341,146
343,146
352,146
324,147
400,148
372,148
397,149
372,149
331,151
304,152
315,153
306,154
358,155
337,157
348,159
370,161
307,162
341,164
352,164
323,165
339,166
333,169
338,169
384,170
392,171
371,172
359,174
333,175
338,175
382,176
385,177
404,179
397,180
400,180
361,181
302,183
332,184
409,185
575,186
268,188
341,189
398,190
374,190
269,192
284,193
293,194
514,196
444,200
494,201
426,202
493,202
483,204
556,206
558,206
446,207
590,208
521,210
556,211
558,211
576,212
574,213
522,214
518,215
463,216
421,217
524,218
528,219
542,220
586,221
495,222
502,223
491,225
490,226
500,227
486,228
479,229
480,229
548,230
596,231
527,233
584,233
597,234
410,235
510,236
467,237
431,238
422,239
426,240
493,240
451,241
438,242
452,243
511,244
501,245
544,246
593,247
516,249
507,249
519,250
460,251
538,252
539,253
589,254
558,255
481,260
480,260
457,262
546,263
448,264
592,266
569,267
496,269
488,270
485,271
564,272
565,272
560,273
515,274
516,274
413,275
436,276
587,277
497,278
489,279
490,280
484,280
499,281
512,282
447,284
414,285
418,286
547,287
565,288
591,289
580,290
572,291
557,292
474,293
428,294
744,298
665,303
633,305
636,306
747,307
637,308
621,309
607,310
603,311
661,312
656,313
720,314
648,315
674,316
659,317
753,318
728,319
657,320
687,322
721,323
608,324
668,325
644,326
612,327
599,328
682,330
692,332
649,334
693,335
658,337
738,338
711,339
679,340
719,341
673,342
718,343
645,346
625,347
696,348
691,349
699,350
749,351
653,352
756,353
669,354
611,355
706,356
695,357
670,358
675,359
750,361
681,362
724,363
863,364
837,365
772,366
893,369
824,372
780,373
763,375
901,376
782,377
802,378
879,379
805,380
771,382
834,383
814,384
886,385
831,386
839,388
784,389
783,390
830,392
870,393
905,394
861,395
884,396
853,397
818,398
795,399
781,401
877,402
885,403
838,405
889,406
812,407
836,408
883,409
881,411
859,412
858,412
861,412
882,413
815,414
845,415
894,416
777,417
865,418
820,419
828,420
862,421
842,422
768,423
890,425
869,426
871,427
808,430
915,433
965,434
913,435
1070,436
912,440
911,445
956,446
990,447
1008,448
964,449
930,450
985,451
1033,452
1020,454
926,455
1065,456
944,456
982,456
934,457
1019,458
984,460
1057,461
1096,463
1042,466
967,467
928,468
948,469
937,470
925,472
951,473
1037,474
942,475
1063,476
962,478
1000,480
969,481
1029,484
944,484
918,485
920,486
1007,487
1016,488
1064,489
1069,490
1061,491
1087,491
1089,491
1039,492
1024,494
940,495
982,496
1102,499
1076,500
1090,501
1061,505
1088,505
1089,505
1075,510
1126,512
1113,530
1114,533
1087,534
1125,535
1127,552
1094,553
1108,554
1087,555
1088,555
760,1193
2277,2030
1131,3873
1133,3876
1134,3878
1136,3880
1143,3884
1148,3891
1145,3893
1152,3896
1153,3897
1164,3898
1160,3900
1168,3901
1166,3903
1167,3904
1170,3905
1171,3906
1165,3907
1182,3910
1176,3912
1181,3913
1178,3914
1185,3915
1179,3918
1180,3919
1177,3920
1188,3921
1193,3922
1211,3928
1203,3929
2014,3931
1209,3933
1214,3934
1204,3935
1207,3936
1206,3937
1349,3938
1307,3940
1263,3941
1324,3946
1339,3948
1328,3949
1346,3953
1217,3958
1289,3962
1280,3966
1237,3967
1350,3968
1337,3970
1309,3971
1310,3972
1354,3973
1428,3974
1458,3976
1452,3978
1397,3982
1411,3984
1398,3987
1450,3990
1508,3993
1506,3995
1486,3998
1467,4000
1281,4002
1498,4007
1505,4009
1506,4009
1419,4010
1519,4011
1497,4011
1476,4012
1400,4015
1483,4020
1446,4022
1435,4023
1415,4024
1444,4026
1437,4027
1516,4028
1518,4029
1422,4030
1600,4033
1586,4034
1576,4035
1550,4037
1531,4039
1670,4040
1675,4044
1654,4046
1677,4047
1539,4056
1637,4057
1599,4063
1612,4064
1535,4065
1641,4066
1593,4067
1565,4068
1547,4070
1555,4071
1628,4073
1584,4074
1582,4075
1638,4079
1592,4081
1636,4083
1682,4083
1614,4087
1575,4088
1657,4089
1619,4090
1615,4091
1577,4095
1663,4097
1562,4100
1748,4107
1794,4111
1823,4112
1733,4117
1730,4118
1782,4119
1722,4120
1723,4120
1722,4121
1690,4123
1799,4126
1698,4128
1758,4128
1836,4129
1795,4130
1908,4130
1852,4131
1779,4132
1802,4133
1830,4135
1808,4136
1752,4137
1699,4138
1837,4139
1745,4141
1698,4143
1708,4144
1720,4145
1759,4146
1867,4147
1711,4149
1845,4150
1831,4151
1813,4153
1807,4154
1795,4157
1705,4157
1850,4159
1856,4162
1791,4164
1864,4166
1843,4167
1755,4169
1817,4170
1721,4171
1703,4173
1766,4174
2195,4176
1780,4176
1747,4177
1731,4178
1753,4181
1751,4187
1726,4190
1788,4191
1732,4193
1919,4195
2022,4197
1927,4200
1886,4201
1949,4202
2006,4207
1985,4208
1923,4209
1906,4210
1988,4216
1981,4217
1928,4218
1920,4220
1873,4224
1945,4225
1890,4226
1896,4228
1970,4230
1872,4234
2025,4237
1942,4243
1874,4246
1956,4247
2027,4249
2026,4250
2015,4252
1940,4255
1907,4256
1991,4257
1938,4259
1971,4259
1922,4262
1941,4263
2208,4266
2095,4268
2189,4270
2134,4275
2112,4278
2084,4280
2053,4282
2204,4283
2094,4285
2202,4290
2138,4291
2061,4296
2035,4298
2113,4299
2034,4302
2119,4304
2126,4306
2062,4308
2137,4309
2141,4310
2133,4311
2215,4314
2085,4318
2213,4322
2158,4323
2077,4327
2070,4333
2142,4337
2143,4339
2086,4342
2107,4344
2195,4347
2201,4349
2032,4351
2178,4353
2087,4354
2110,4356
2207,4357
2108,4358
2165,4362
2164,4365
2101,4369
2125,4370
2118,4371
2206,4372
1591,4429
1864,4472
2068,4931
2252,6196
2256,7546
2278,7579
2309,7614
2324,7616
2337,7657
2444,7677
2779,7812
2900,7907
